,pf_batt_voltage,pf_batt_min_voltage,pf_batt_max_voltage,pf_batt_capacity,pf_batt_max_charge_rate,pf_batt_max_discharge_rate,pf_batt_soc,pf_batt_stored_energy,pf_batt_usable_stored_energy,pf_batt_usable_min_energy,pf_batt_usable_max_energy,pf_batt_usable_is_full,pf_target_power_pv,pf_target_power_wt,pf_battery_remaining_energy,pf_total_energy,simulink_wt_target_power,simulink_wt_clock,simulink_wt_actual_power,simulink_wt_max_power,simulink_wt_pitch,simulink_wt_wind_speed,simulink_wt_rotor_speed,simulink_pv_target_power,simulink_pv_clock,simulink_pv_actual_power,simulink_pv_max_power,simulink_pv_irradiance,simulink_pv_irradiance_demand,simulink_pv_irradiance_limited,simulink_pv_i_dc,simulink_pv_i_dc_max,simulink_pv_v_dc,simulink_batt_I_cc,simulink_batt_V_top,simulink_batt_voltage,simulink_batt_current,simulink_batt_cell_voltage1,simulink_batt_cell_voltage2,simulink_batt_cell_voltage3,simulink_batt_cell_current1,simulink_batt_cell_current2,simulink_batt_cell_current3,simulink_batt_soc1,simulink_batt_soc2,simulink_batt_soc3,simulink_batt_cell_temperature1,simulink_batt_cell_temperature2,simulink_batt_cell_temperature3,simulink_batt_fault1,simulink_batt_fault2,simulink_batt_fault3
661,5.0,5,200,2000,5,5,0.0,10000.0,0.0,10000,400000,0,1750,1500,10000.0,812.5,1500.0,33.1,1.1511719456110825,0.9743216798818093,0.0,9.554657021001368,1.0060127117347524,1750.0,33.1,1793.3537411492764,1902.1199102738778,812.5367816526486,769.2854630504523,812.5367816526486,5.2437243893253696,5.56175412360783,342.0,0.0,5.0,1.5124638164110138e-07,4.999999848753619e-06,5.041492023849514e-08,5.04156413932752e-08,5.041581961268929e-08,4.999999848249928e-06,4.99999984824992e-06,-4.1582113019009816e-08,0.973733793549151,0.972317518348832,0.9665883600143794,19.85000000001355,19.85000000002259,19.850000000027137,0.0,0.0,0.0
662,5.0,5,200,2000,5,5,0.0,10000.0,0.0,10000,400000,0,1750,1500,10000.0,812.5,1500.0,33.15,1.147241055600574,0.9751437962083307,0.0,9.542157021001369,1.0059830108237233,1750.0,33.15,1793.1465157228124,1902.1199102738778,812.5367816526486,769.1854630504523,812.5367816526486,5.243118467025767,5.56175412360783,342.0,0.0,5.0,1.5124638164110138e-07,4.999999848753618e-06,5.041492023849514e-08,5.0415641393251776e-08,5.041581961266584e-08,4.999999848249927e-06,4.9999998482499195e-06,-4.158211301666548e-08,0.9737337933628514,0.972317518162612,0.9665883598284825,19.85000000001355,19.85000000002259,19.850000000027137,0.0,0.0,0.0
663,5.0,5,200,2000,5,5,0.0,10000.0,0.0,10000,400000,0,1750,1500,10000.0,812.5,1500.0,33.2,1.1433070485301755,0.975934494386935,0.0,9.529657021001368,1.0059534419546976,1750.0,33.2,1793.2775072056777,1902.1199102738778,812.5367816526486,769.2854630504523,812.5367816526486,5.243501483057537,5.56175412360783,342.0,0.0,5.0,1.5124638164110138e-07,4.999999848753618e-06,5.041492023849514e-08,5.041564139322833e-08,5.041581961264239e-08,4.999999848249927e-06,4.9999998482499195e-06,-4.158211301432114e-08,0.9737337931765516,0.9723175179763922,0.9665883596425855,19.85000000001355,19.85000000002259,19.850000000027137,0.0,0.0,0.0
664,5.0,5,200,2000,5,5,0.0,10000.0,0.0,10000,400000,0,1750,1500,10000.0,812.5,1500.0,33.25,1.1393699556325032,0.976690382406247,0.0,9.517157021001369,1.00592400326838,1750.0,33.25,1793.3537411492764,1902.1199102738778,812.5367816526486,769.2854630504523,812.5367816526486,5.2437243893253696,5.56175412360783,342.0,0.0,5.0,1.5124638164110138e-07,4.999999848753618e-06,5.041492023849514e-08,5.04156413932049e-08,5.0415819612618946e-08,4.999999848249927e-06,4.9999998482499195e-06,-4.15821130119768e-08,0.9737337929902519,0.9723175177901724,0.9665883594566886,19.85000000001355,19.85000000002259,19.850000000027137,0.0,0.0,0.0
665,5.0,5,200,2000,5,5,0.0,10000.0,0.0,10000,400000,0,1750,1500,10000.0,812.5,1500.0,33.3,1.135429809766606,0.9774085097163245,0.0,9.50465702100137,1.0058946930037347,1750.0,33.3,1793.1465157228124,1902.1199102738778,812.5367816526486,769.1854630504523,812.5367816526486,5.243118467025767,5.56175412360783,342.0,0.0,5.0,1.5124638164110138e-07,4.999999848753618e-06,5.041492023849514e-08,5.041564139318147e-08,5.041581961259551e-08,4.999999848249927e-06,4.9999998482499195e-06,-4.158211300963246e-08,0.9737337928039522,0.9723175176039525,0.9665883592707917,19.85000000001355,19.85000000002259,19.850000000027137,0.0,0.0,0.0
666,5.0,5,200,2000,5,5,0.0,10000.0,0.0,10000,400000,0,1750,1500,10000.0,812.5,1500.0,33.35,1.1314866473023244,0.9780864440610183,0.0,9.492157021001368,1.0058655094820248,1750.0,33.35,1793.2775072056777,1902.1199102738778,812.5367816526486,769.2854630504523,812.5367816526486,5.243501483057537,5.56175412360783,342.0,0.0,5.0,1.5124638164110138e-07,4.999999848753618e-06,5.041492023849514e-08,5.041564139315804e-08,5.041581961257206e-08,4.999999848249927e-06,4.9999998482499195e-06,-4.158211300728814e-08,0.9737337926176525,0.9723175174177326,0.9665883590848947,19.85000000001355,19.85000000002259,19.850000000027137,0.0,0.0,0.0
667,5.0,5,200,2000,5,5,0.0,10000.0,0.0,10000,400000,0,1750,1500,10000.0,812.5,1500.0,33.4,1.1275405087133095,0.9787223617722809,0.0,9.479657021001369,1.005836451085679,1750.0,33.4,1793.3537411492764,1902.1199102738778,812.5367816526486,769.2854630504523,812.5367816526486,5.2437243893253696,5.56175412360783,342.0,0.0,5.0,1.5124638164110138e-07,4.999999848753618e-06,5.041492023849514e-08,5.0415641393134594e-08,5.0415819612548616e-08,4.999999848249927e-06,4.9999998482499195e-06,-4.158211300494381e-08,0.9737337924313527,0.9723175172315128,0.9665883588989979,19.85000000001355,19.85000000002259,19.850000000027137,0.0,0.0,0.0
668,5.0,5,200,2000,5,5,0.0,10000.0,0.0,10000,400000,0,1750,1500,10000.0,812.5,1500.0,33.45,1.1235914381055068,0.9793150915909035,0.0,9.467157021001368,1.0058075162379723,1750.0,33.45,1793.1465157228124,1902.1199102738778,812.5367816526486,769.1854630504523,812.5367816526486,5.243118467025767,5.56175412360783,342.0,0.0,5.0,1.5124638164110138e-07,4.999999848753618e-06,5.041492023849514e-08,5.0415641393111175e-08,5.041581961252517e-08,4.999999848249927e-06,4.9999998482499195e-06,-4.1582113002599466e-08,0.973733792245053,0.9723175170452929,0.9665883587131009,19.85000000001355,19.85000000002259,19.850000000027137,0.0,0.0,0.0
669,5.0,5,200,2000,5,5,0.0,10000.0,0.0,10000,400000,0,1750,1500,10000.0,812.5,1500.0,33.5,1.1196394820890987,0.9798640739679294,0.0,9.454657021001369,1.005778703387666,1750.0,33.5,1793.2775072056777,1902.1199102738778,812.5367816526486,769.2854630504523,812.5367816526486,5.243501483057537,5.56175412360783,342.0,0.0,5.0,1.5124638164110138e-07,4.999999848753618e-06,5.041492023849514e-08,5.0415641393087736e-08,5.041581961250173e-08,4.999999848249927e-06,4.9999998482499195e-06,-4.158211300025514e-08,0.9737337920587533,0.9723175168590731,0.9665883585272039,19.85000000001355,19.85000000002259,19.850000000027137,0.0,0.0,0.0
670,5.0,5,200,2000,5,5,0.0,10000.0,0.0,10000,400000,0,1750,1500,10000.0,812.5,1500.0,33.55,1.1156846884210836,0.9803692340165767,0.0,9.44215702100137,1.005750011000469,1750.0,33.55,1793.3537411492764,1902.1199102738778,812.5367816526486,769.2854630504523,812.5367816526486,5.2437243893253696,5.56175412360783,342.0,0.0,5.0,1.5124638164110138e-07,4.999999848753618e-06,5.041492023849514e-08,5.0415641393064303e-08,5.0415819612478286e-08,4.999999848249927e-06,4.9999998482499195e-06,-4.158211299791079e-08,0.9737337918724536,0.9723175166728533,0.9665883583413071,19.85000000001355,19.85000000002259,19.850000000027137,0.0,0.0,0.0
