Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Fwd Packet Length Std,Fwd Packet Length Max,Fwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min
54,172.22.66.10,56785,224.0.0.252,5355,UDP,2024-05-31 12:00:30.945567,0 days 00:00:00.409591,2,0,132,0.0,66.0,0.0,66,66,,,,,322.2727061873918,4.882919790718058,0 days 00:00:00.409591,0 days 00:00:00,0 days 00:00:00.409591,0 days 00:00:00.409591,0 days 00:00:00.409591,0 days 00:00:00.409591,0 days 00:00:00,0 days 00:00:00.409591,0 days 00:00:00.409591,,,,,
55,172.22.66.10,52005,224.0.0.252,5355,UDP,2024-05-31 12:00:30.946599,0 days 00:00:00.409505,2,0,130,0.0,65.0,0.0,65,65,,,,,317.4564413132929,4.883945250973737,0 days 00:00:00.409505,0 days 00:00:00,0 days 00:00:00.409505,0 days 00:00:00.409505,0 days 00:00:00.409505,0 days 00:00:00.409505,0 days 00:00:00,0 days 00:00:00.409505,0 days 00:00:00.409505,,,,,
56,172.22.66.10,50291,172.22.66.23,102,TCP,2024-05-31 12:00:31.460361,0 days 00:00:00.011411,10,9,700,631.0,70.0,12.00833044182246,93,60,70.11111111111111,11.713661961283067,87.0,60.0,116641.83682411708,1665.0600297958113,0 days 00:00:00.000633,0 days 00:00:00.001162,0 days 00:00:00.005138,0 days 00:00:00.000003,0 days 00:00:00.010100,0 days 00:00:00.001122,0 days 00:00:00.001579,0 days 00:00:00.005148,0 days 00:00:00.000003,0 days 00:00:00.011097,0 days 00:00:00.001387,0 days 00:00:00.001444,0 days 00:00:00.005147,0 days 00:00:00.000235
57,172.22.66.21,102,172.22.66.10,56965,TCP,2024-05-31 12:00:32.825057,0 days 00:00:02.000125,4,2,400,122.0,100.0,40.0,140,60,61.0,0.0,61.0,61.0,260.98368851946753,2.999812511718017,0 days 00:00:00.400025,0 days 00:00:00.799119,0 days 00:00:01.998264,0 days 00:00:00.000011,0 days 00:00:02.000125,0 days 00:00:00.666708,0 days 00:00:00.941552,0 days 00:00:01.998264,0 days 00:00:00.000900,0 days 00:00:01.999224,0 days 00:00:01.999224,0 days 00:00:00,0 days 00:00:01.999224,0 days 00:00:01.999224
58,172.22.66.10,57750,224.0.0.252,5355,UDP,2024-05-31 12:00:33.108386,0 days 00:00:00.410561,2,0,132,0.0,66.0,0.0,66,66,,,,,321.511297955724,4.871383302359455,0 days 00:00:00.410561,0 days 00:00:00,0 days 00:00:00.410561,0 days 00:00:00.410561,0 days 00:00:00.410561,0 days 00:00:00.410561,0 days 00:00:00,0 days 00:00:00.410561,0 days 00:00:00.410561,,,,,
59,172.22.66.10,59211,224.0.0.252,5355,UDP,2024-05-31 12:00:33.108414,0 days 00:00:00.410540,2,0,132,0.0,66.0,0.0,66,66,,,,,321.5277439469966,4.871632484045404,0 days 00:00:00.410540,0 days 00:00:00,0 days 00:00:00.410540,0 days 00:00:00.410540,0 days 00:00:00.410540,0 days 00:00:00.410540,0 days 00:00:00,0 days 00:00:00.410540,0 days 00:00:00.410540,,,,,
60,172.22.66.10,50436,224.0.0.252,5355,UDP,2024-05-31 12:00:33.108419,0 days 00:00:00.410542,2,0,132,0.0,66.0,0.0,66,66,,,,,321.52617758962543,4.871608751357961,0 days 00:00:00.410542,0 days 00:00:00,0 days 00:00:00.410542,0 days 00:00:00.410542,0 days 00:00:00.410542,0 days 00:00:00.410542,0 days 00:00:00,0 days 00:00:00.410542,0 days 00:00:00.410542,,,,,
61,172.22.66.10,51981,224.0.0.252,5355,UDP,2024-05-31 12:00:33.108423,0 days 00:00:00.410535,2,0,132,0.0,66.0,0.0,66,66,,,,,321.5316599071943,4.871691816775671,0 days 00:00:00.410535,0 days 00:00:00,0 days 00:00:00.410535,0 days 00:00:00.410535,0 days 00:00:00.410535,0 days 00:00:00.410535,0 days 00:00:00,0 days 00:00:00.410535,0 days 00:00:00.410535,,,,,
62,172.22.66.10,65095,224.0.0.252,5355,UDP,2024-05-31 12:00:33.108576,0 days 00:00:00.410343,2,0,132,0.0,66.0,0.0,66,66,,,,,321.6821049707196,4.873971287435146,0 days 00:00:00.410343,0 days 00:00:00,0 days 00:00:00.410343,0 days 00:00:00.410343,0 days 00:00:00.410343,0 days 00:00:00.410343,0 days 00:00:00,0 days 00:00:00.410343,0 days 00:00:00.410343,,,,,
63,172.22.66.10,62358,224.0.0.252,5355,UDP,2024-05-31 12:00:33.108588,0 days 00:00:00.410355,2,0,132,0.0,66.0,0.0,66,66,,,,,321.6726980297547,4.873828758026586,0 days 00:00:00.410355,0 days 00:00:00,0 days 00:00:00.410355,0 days 00:00:00.410355,0 days 00:00:00.410355,0 days 00:00:00.410355,0 days 00:00:00,0 days 00:00:00.410355,0 days 00:00:00.410355,,,,,
